Base Job ID,Base Job Title,Tested Case ID,Permutation Profile,Calculated Jaccard Score,System Action Decision
JOB_01,Senior Java Developer,Case 1,Completely same jobs (Exact word match),1.0,
JOB_01,Senior Java Developer,Case 2,Job title same but different employer and description,0.0,
JOB_01,Senior Java Developer,Case 3,Job employer same but different title and description,0.0,
JOB_01,Senior Java Developer,Case 4,Same description but different employer and title,0.871,
JOB_01,Senior Java Developer,Case 5,Job title and employer same but different description,0.0,
JOB_01,Senior Java Developer,Case 6,Employer and description same but different title,0.9333,
JOB_01,Senior Java Developer,Case 7,Title and description same but different employer,0.871,
JOB_01,Senior Java Developer,Case 8,All attributes completely different,0.0,
JOB_01,Senior Java Developer,Case 9,"Title & Employer same, Description highly similar (Near-Duplicate)",0.5227,
JOB_02,Data Engineer,Case 1,Completely same jobs (Exact word match),1.0,
JOB_02,Data Engineer,Case 2,Job title same but different employer and description,0.0,
JOB_02,Data Engineer,Case 3,Job employer same but different title and description,0.0,
JOB_02,Data Engineer,Case 4,Same description but different employer and title,0.871,
JOB_02,Data Engineer,Case 5,Job title and employer same but different description,0.0,
JOB_02,Data Engineer,Case 6,Employer and description same but different title,0.9333,
JOB_02,Data Engineer,Case 7,Title and description same but different employer,0.871,
JOB_02,Data Engineer,Case 8,All attributes completely different,0.0,
JOB_02,Data Engineer,Case 9,"Title & Employer same, Description highly similar (Near-Duplicate)",0.8056,
JOB_03,Golang Backend Engineer,Case 1,Completely same jobs (Exact word match),1.0,
JOB_03,Golang Backend Engineer,Case 2,Job title same but different employer and description,0.0,
JOB_03,Golang Backend Engineer,Case 3,Job employer same but different title and description,0.0,
JOB_03,Golang Backend Engineer,Case 4,Same description but different employer and title,0.8519,
JOB_03,Golang Backend Engineer,Case 5,Job title and employer same but different description,0.0,
JOB_03,Golang Backend Engineer,Case 6,Employer and description same but different title,0.9231,
JOB_03,Golang Backend Engineer,Case 7,Title and description same but different employer,0.8519,
JOB_03,Golang Backend Engineer,Case 8,All attributes completely different,0.0,
JOB_03,Golang Backend Engineer,Case 9,"Title & Employer same, Description highly similar (Near-Duplicate)",0.7812,
JOB_04,Frontend React Developer,Case 1,Completely same jobs (Exact word match),1.0,
JOB_04,Frontend React Developer,Case 2,Job title same but different employer and description,0.0,
JOB_04,Frontend React Developer,Case 3,Job employer same but different title and description,0.0,
JOB_04,Frontend React Developer,Case 4,Same description but different employer and title,0.8788,
JOB_04,Frontend React Developer,Case 5,Job title and employer same but different description,0.0,
JOB_04,Frontend React Developer,Case 6,Employer and description same but different title,0.9375,
JOB_04,Frontend React Developer,Case 7,Title and description same but different employer,0.8788,
JOB_04,Frontend React Developer,Case 8,All attributes completely different,0.0,
JOB_04,Frontend React Developer,Case 9,"Title & Employer same, Description highly similar (Near-Duplicate)",0.8158,
JOB_05,DevOps Cloud Engineer,Case 1,Completely same jobs (Exact word match),1.0,
JOB_05,DevOps Cloud Engineer,Case 2,Job title same but different employer and description,0.0,
JOB_05,DevOps Cloud Engineer,Case 3,Job employer same but different title and description,0.0,
JOB_05,DevOps Cloud Engineer,Case 4,Same description but different employer and title,0.8519,
JOB_05,DevOps Cloud Engineer,Case 5,Job title and employer same but different description,0.0,
JOB_05,DevOps Cloud Engineer,Case 6,Employer and description same but different title,0.9231,
JOB_05,DevOps Cloud Engineer,Case 7,Title and description same but different employer,0.8519,
JOB_05,DevOps Cloud Engineer,Case 8,All attributes completely different,0.0,
